corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot	author_wikidata_id	work_wikidata_id
ELTeC-pol	POL0004_beczkowska_co-bedzie	POL0004	Grot-Bęczkowska, Wanda	Co będzie z naszego chłopca?	1854	1925	F	http://viaf.org/viaf/187234530	1896			1896			pl	35609			short	low	T3	Q9370796	
ELTeC-pol	POL0062_prus_faraon	POL0062	Prus, Bolesław	Faraon	1847	1912	M	http://viaf.org/viaf/64016160	1897			1897			pl	198296			long	high	T3	Q144439	Q2379553
ELTeC-pol	POL0093_zeromski_syzyfowe-prace	POL0093	Żeromski, Stefan	Syzyfowe prace	1864	1925	M	http://viaf.org/viaf/189239633	1898			1898			pl	65554			medium	high	T3	Q366040	Q7663966
ELTeC-pol	POL0025_godlewska-ludwika_kato	POL0025	Godlewska, Ludwika	Kato	1863	1901	F	http://viaf.org/viaf/164716389	1898			1898			pl	90002			long	low	T3	Q11764021	
ELTeC-pol	POL0005_beczkowska_kedy-droga	POL0005	Grot-Bęczkowska, Wanda	Kędy droga?	1854	1925	F	http://viaf.org/viaf/187234530	1898			1898			pl	82956			medium	low	T3	Q9370796	
ELTeC-pol	POL0026_godlewska-ludwika_kwiat-aloesu	POL0026	Godlewska, Ludwika	Kwiat aloesu	1863	1901	F	http://viaf.org/viaf/164716389	1899			1899			pl	24414			short	low	T3	Q11764021	
ELTeC-pol	POL0066_reymont_ziemia-obiecana	POL0066	Reymont, Władysław Stanisław	Ziemia obiecana	1867	1925	M	http://viaf.org/viaf/4935777	1899			1899			pl	173882			long	high	T3	Q121180	Q3656167
ELTeC-pol	POL0006_beczkowska_w-mieszczanskim-gniezdzie	POL0006	Grot-Bęczkowska, Wanda	W mieszczańskim gnieździe	1854	1925	F	http://viaf.org/viaf/187234530	1899			1899			pl	53885			medium	low	T3	Q9370796	
ELTeC-pol	POL0069_rodziewiczowna_straszny-dziadunio	POL0069	Rodziewiczówna, Maria	Straszny dziadunio	1864	1944	F	http://viaf.org/viaf/101739597	1899			1899			pl	35761			short	high	T3	Q6761541	Q9346461
ELTeC-pol	POL0045_lozinski-wladyslaw_oko-proroka	POL0045	Łoziński, Władysław	Oko proroka	1843	1913	M	http://viaf.org/viaf/56900155	1899			1899			pl	81758			medium	low	T3	Q4265443	Q108849655
ELTeC-pol	POL0013_dmochowska_dwor-w-haliniszkach	POL0013	Dmochowska, Emma	Dwór w Haliniszkach	1864	1919	F	http://viaf.org/viaf/163971581	1903			1903			pl	132873			long	low	T4	Q11696882	
ELTeC-pol	POL0097_zulawski_na-srebrnym-globie	POL0097	Żuławski, Jerzy	Na srebrnym globie	1874	1915	M	http://viaf.org/viaf/20269297	1903			1903			pl	64507			medium	high	T4	Q1373117	
ELTeC-pol	POL0009_berent_prochno	POL0009	Berent, Wacław	Próchno	1873	1940	M	http://viaf.org/viaf/22203184	1903			1903			pl	80318			medium	low	T4	Q2441886	Q11830442
ELTeC-pol	POL0090_zapolska_sezonowa-milosc	POL0090	Zapolska, Gabriela	Sezonowa miłość	1857	1921	F	http://viaf.org/viaf/36937720	1904			1904			pl	108195			long	low	T4	Q454870	Q15730141
ELTeC-pol	POL0060_papi_w-sloncu	POL0060	Papi, Jadwiga	W słońcu	1843	1906	F	http://viaf.org/viaf/14351639	1904			1904			pl	33836			short	low	T4	Q17313427	
ELTeC-pol	POL0083_weyssenhoff_narodziny-dzialacza	POL0083	Weyssenhoff, Józef	Narodziny działacza	1860	1932	M	http://viaf.org/viaf/39411801	1906			1906			pl	28240			short	low	T4	Q4893733	Q108845363
ELTeC-pol	POL0015_dmochowska_obraczka	POL0015	Dmochowska, Emma	Obrączka	1864	1919	F	http://viaf.org/viaf/163971581	1907			1907			pl	58742			medium	low	T4	Q11696882	
ELTeC-pol	POL0091_zeromski_dzieje-grzechu	POL0091	Żeromski, Stefan	Dzieje grzechu	1864	1925	M	http://viaf.org/viaf/189239633	1908			1908			pl	151924			long	high	T4	Q366040	Q18424379
ELTeC-pol	POL0064_reymont_chlopi	POL0064	Reymont, Władysław Stanisław	Chłopi	1867	1925	M	http://viaf.org/viaf/4935777	1909			1909			pl	326603			long	high	T4	Q121180	Q2896338
ELTeC-pol	POL0051_mniszek_tredowata	POL0051	Mniszek, Helena	Trędowata	1878	1943	F	http://viaf.org/viaf/920864	1909			1909			pl	120753			long	high	T4	Q11708825	Q662952
ELTeC-pol	POL0021_domanska_paziowie-krola-zygmunta	POL0021	Domańska, Antonina	Paziowie króla Zygmunta	1853	1917	F	http://viaf.org/viaf/3522169	1910			1910			pl	43324			short	low	T4	Q4165703	Q60856369
ELTeC-pol	POL0040_krzemieniecka_a-gdy-odejdzie	POL0040	Krzemieniecka, Hanna	A gdy odejdzie w przepaść wieczną	1866	1930	F	http://viaf.org/viaf/166400239	1910			1910			pl	54131			medium	low	T4	Q9285993	
ELTeC-pol	POL0099_zulawski_zwyciezca	POL0099	Żuławski, Jerzy	Zwycięzca	1874	1915	M	http://viaf.org/viaf/20269297	1910			1910			pl	84111			medium	high	T4	Q1373117	Q9392684
ELTeC-pol	POL0073_strug_dzieje-jednego-pocisku	POL0073	Strug, Andrzej	Dzieje jednego pocisku	1871	1937	M	http://viaf.org/viaf/64041122	1910			1910			pl	64359			medium	low	T4	Q4759711	Q9248397
ELTeC-pol	POL0050_mniszek_ordynat-michorowski	POL0050	Mniszek, Helena	Ordynat michorowski	1878	1943	F	http://viaf.org/viaf/920864	1910			1910			pl	48668			short	high	T4	Q11708825	
ELTeC-pol	POL0053_morawska_na-zgliszczach-zakonu	POL0053	Morawska, Zuzanna	Na zgliszczach Zakonu	1840	1922	F		1911			1911			pl	38868			short	low	T4		
ELTeC-pol	POL0052_morawska_adiutant-nastepcy-tronu	POL0052	Morawska, Zuzanna	Adjutant następcy tronu	1840	1922	F		1911			1911			pl	31605			short	low	T4		
ELTeC-pol	POL0008_berent_ozimina	POL0008	Berent, Wacław	Ozimina	1873	1940	M	http://viaf.org/viaf/22203184	1911			1911			pl	68502			medium	low	T4	Q2441886	Q11801350
ELTeC-pol	POL0049_mniszek_gehenna	POL0049	Mniszek, Helena	Gehenna	1878	1943	F	http://viaf.org/viaf/920864	1912			1912			pl	170796			long	high	T4	Q11708825	Q108867218
ELTeC-pol	POL0084_weyssenhoff_sobol-i-panna	POL0084	Weyssenhoff, Józef	Soból i panna	1860	1932	M	http://viaf.org/viaf/39411801	1912			1912			pl	63400			medium	low	T4	Q4893733	Q9338979
ELTeC-pol	POL0019_domanska_historia-zoltej-cizemki	POL0019	Domańska, Antonina	Historia żółtej ciżemki	1853	1917	F	http://viaf.org/viaf/3522169	1913			1913			pl	62366			medium	low	T4	Q4165703	Q9293019
ELTeC-pol	POL0089_zapolska_kobieta-bez-skazy	POL0089	Zapolska, Gabriela	Kobieta bez skazy	1857	1921	F	http://viaf.org/viaf/36937720	1913			1913			pl	70554			medium	low	T4	Q454870	
ELTeC-pol	POL0082_weyssenhoff_gromada	POL0082	Weyssenhoff, Józef	Gromada	1860	1932	M	http://viaf.org/viaf/39411801	1913			1913			pl	59634			medium	low	T4	Q4893733	Q108849935
ELTeC-pol	POL0020_domanska_krysia-bezimienna	POL0020	Domańska, Antonina	Krysia bezimienna	1853	1917	F	http://viaf.org/viaf/3522169	1914			1914			pl	34310			short	low	T4	Q4165703	
ELTeC-pol	POL0098_zulawski_powrot	POL0098	Żuławski, Jerzy	Powrót	1874	1915	M	http://viaf.org/viaf/20269297	1914			1914			pl	64507			medium	high	T4	Q1373117	Q19163528
ELTeC-pol	POL0014_dmochowska_jak-odlamana-galaz	POL0014	Dmochowska, Emma	Jak odłamana gałąź	1864	1919	F	http://viaf.org/viaf/163971581	1914			1914			pl	50488			short	low	T4	Q11696882	
ELTeC-pol	POL0076_swietochowski_drygalowie	POL0076	Świętochowski, Aleksander	Drygałowie	1849	1938	M	http://viaf.org/viaf/22939255	1915			1915			pl	44297			short	low	T4	Q723324	
ELTeC-pol	POL0080_sygietynski_swiety-ogien	POL0080	Sygietyński, Antoni	Święty ogień	1850	1923	M	http://viaf.org/viaf/54273263	1918			1918			pl	40324			short	low	T4	Q9157443	
ELTeC-pol	POL0067_rodziewiczowna_lato-lesnych-ludzi	POL0067	Rodziewiczówna, Maria	Lato leśnych ludzi	1864	1944	F	http://viaf.org/viaf/101739597	1920			1920			pl	45202			short	high	T4	Q6761541	Q11753191
ELTeC-pol	POL0100_makuszynski_po-mlecznej-drodze	POL0100	Makuszyński, Kornel	Po mlecznej drodze	1884	1953	M	http://viaf.org/viaf/24615563	1920	1920			Computational Stylistics Group in Krakow		pol	54705			medium	high	T4	Q1028469	
ELTeC-pol	POL0042_krzemieniecka_leca-wichry	POL0042	Krzemieniecka, Hanna	Lecą wichry!	1866	1930	F	http://viaf.org/viaf/166400239	1923			1923			pl	75740			medium	low	T4	Q9285993	
ELTeC-pol	POL0092_zeromski_przedwiosnie	POL0092	Żeromski, Stefan	Przedwiośnie	1864	1925	M	http://viaf.org/viaf/189239633	1924			1924			pl	87994			medium	high	T4	Q366040	Q7766066
ELTeC-pol	POL0029_grabinski_salamandra	POL0029	Grabiński, Stefan	Salamandra	1887	1936	M	http://viaf.org/viaf/8490048	1924			1924			pl	32079			short	low	T4	Q721032	
ELTeC-pol	POL0074_strug_pokolenie-marka-swidy	POL0074	Strug, Andrzej	Pokolenie Marka Świdy	1871	1937	M	http://viaf.org/viaf/64041122	1925			1925			pl	89503			long	low	T4	Q4759711	Q108867208
ELTeC-pol	POL0087_witkacy_pozegnanie-jesieni	POL0087	Witkiewicz, Stanisław Ignacy	Pożegnanie jesieni	1885	1939	M	http://viaf.org/viaf/88039095	1927			1927			pl	128659			long	low	T4	Q381238	Q11826473
ELTeC-pol	POL0041_krzemieniecka_fatum	POL0041	Krzemieniecka, Hanna	Fatum	1866	1930	F	http://viaf.org/viaf/166400239	1928			1928			pl	38078			short	low	T4	Q9285993	
ELTeC-pol	POL0086_witkacy_nienasycenie	POL0086	Witkiewicz, Stanisław Ignacy	Nienasycenie	1885	1939	M	http://viaf.org/viaf/88039095	1930			1930			pl	206917			long	low	T4	Q381238	Q6037124
ELTeC-pol	POL0028_grabinski_namietnosc	POL0028	Grabiński, Stefan	Namiętność	1887	1936	M	http://viaf.org/viaf/8490048	1930			1930			pl	12103			short	low	T4	Q721032	
ELTeC-pol	POL0016_dolega-mostowicz_kariera-nikodema-dyzmy	POL0016	Dołęga, Tadeusz-Mostowicz	Kariera Nikodema Dyzmy	1898	1939	M	http://viaf.org/viaf/17325963	1932			1932			pl	85595			medium	high	T4	Q973270	Q2614387
ELTeC-pol	POL0075_strug_zolty-krzyz	POL0075	Strug, Andrzej	Żółty krzyż	1871	1937	M	http://viaf.org/viaf/64041122	1933			1933			pl	139338			long	low	T4	Q4759711	Q19061078
ELTeC-pol	POL0085_witkacy_jedyne-wyjscie	POL0085	Witkiewicz, Stanisław Ignacy	Jedyne wyjście	1885	1939	M	http://viaf.org/viaf/88039095	1933			1933			pl	34812			short	low	T4	Q381238	Q18425755
ELTeC-pol	POL0078_swietochowski_twinko	POL0078	Świętochowski, Aleksander	Twinko	1849	1938	M	http://viaf.org/viaf/22939255	1936			1936			pl	45993			short	low	T4	Q723324	
ELTeC-pol	POL0030_grabinski_wyspa-itongo	POL0030	Grabiński, Stefan	Wyspa Itongo	1887	1936	M	http://viaf.org/viaf/8490048	1936			1936			pl	47046			short	low	T4	Q721032	
ELTeC-pol	POL0007_berent_diogenes-w-kontuszu	POL0007	Berent, Wacław	Diogenes w kontuszu	1873	1940	M	http://viaf.org/viaf/22203184	1937			1937			pl	38983			short	low	T4	Q2441886	Q20035223
ELTeC-pol	POL0018_dolega-mostowicz_znachor	POL0018	Dołęga, Tadeusz-Mostowicz	Znachor	1898	1939	M	http://viaf.org/viaf/17325963	1938			1938			pl	80253			medium	high	T4	Q973270	Q9391574
ELTeC-pol	POL0017_dolega-mostowicz_pamietnik-pani-hanki	POL0017	Dołęga, Tadeusz-Mostowicz	Pamiętnik pani Hanki	1898	1939	M	http://viaf.org/viaf/17325963	1939			1939			pl	98286			long	high	T4	Q973270	Q11802484
